products.id,products.title,products.description,products.category,products.price,products.discountPercentage,products.rating,products.stock,products.tags,products.brand,products.sku,products.weight,products.dimensions.width,products.dimensions.height,products.dimensions.depth,products.warrantyInformation,products.shippingInformation,products.availabilityStatus,products.reviews,products.returnPolicy,products.minimumOrderQuantity,products.meta.createdAt,products.meta.updatedAt,products.meta.barcode,products.meta.qrCode,products.images,products.thumbnail
56,Electric Stove,The Electric Stove provides a portable and efficient cooking solution. Ideal for small kitchens or as an additional cooking surface for various culinary needs.,kitchen-accessories,49.99,14.04,4.11,21,[List],null,B09CT6L67S,5,24.17,22.55,27.49,2 year warranty,Ships in 1 week,In Stock,[List],7 days return policy,8,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,7.5341E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/kitchen-accessories/electric-stove/thumbnail.webp
57,Fine Mesh Strainer,The Fine Mesh Strainer is a versatile tool for straining liquids and sifting dry ingredients. Its fine mesh ensures efficient filtering for smooth cooking and baking.,kitchen-accessories,9.99,3.5,3.04,85,[List],null,B077MF72BK,9,18.02,13.23,15.92,1 month warranty,Ships overnight,In Stock,[List],7 days return policy,43,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,8.18167E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/kitchen-accessories/fine-mesh-strainer/thumbnail.webp
58,Fork,The Fork is a classic utensil for various dining and serving purposes. Its durable and ergonomic design makes it a reliable choice for everyday use.,kitchen-accessories,3.99,8.07,3.11,7,[List],null,B0922WJ27J,9,12.3,25.91,22.57,No warranty,Ships in 1 month,In Stock,[List],No return policy,36,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,2.85119E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/kitchen-accessories/fork/thumbnail.webp
59,Glass,The Glass is a versatile and elegant drinking vessel suitable for a variety of beverages. Its clear design allows you to enjoy the colors and textures of your drinks.,kitchen-accessories,4.99,7.92,4.02,46,[List],null,B09RKFBMYD,10,20.23,24.56,26.97,3 year warranty,Ships overnight,In Stock,[List],7 days return policy,17,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,4.90088E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/kitchen-accessories/glass/thumbnail.webp
60,Grater Black,"The Grater in Black is a handy kitchen tool for grating cheese, vegetables, and more. Its sleek design and sharp blades make food preparation efficient and easy.",kitchen-accessories,10.99,3.56,3.21,84,[List],null,B08YN44FZJ,3,6.32,23.11,24.64,1 month warranty,Ships in 1 week,In Stock,[List],60 days return policy,5,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,2.54265E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/kitchen-accessories/grater-black/thumbnail.webp
61,Hand Blender,"The Hand Blender is a versatile kitchen appliance for blending, pureeing, and mixing. Its compact design and powerful motor make it a convenient tool for various recipes.",kitchen-accessories,34.99,17.02,3.86,84,[List],null,B082W8RWN1,5,27.31,21,24.27,1 year warranty,Ships in 1 week,In Stock,[List],No return policy,11,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,1.98058E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/kitchen-accessories/hand-blender/thumbnail.webp
62,Ice Cube Tray,The Ice Cube Tray is a practical accessory for making ice cubes in various shapes. Perfect for keeping your drinks cool and adding a fun element to your beverages.,kitchen-accessories,5.99,0.63,4.71,13,[List],null,B09RKDZ461,3,26.67,18.14,5.31,1 month warranty,Ships overnight,In Stock,[List],No return policy,16,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,9.12354E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/kitchen-accessories/ice-cube-tray/thumbnail.webp
63,Kitchen Sieve,The Kitchen Sieve is a versatile tool for sifting and straining dry and wet ingredients. Its fine mesh design ensures smooth results in your cooking and baking.,kitchen-accessories,7.99,18.91,3.09,68,[List],null,B08ZHNGS54,5,20.68,6.5,7.86,1 month warranty,Ships overnight,In Stock,[List],No return policy,5,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,7.11961E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/kitchen-accessories/kitchen-sieve/thumbnail.webp
64,Knife,"The Knife is an essential kitchen tool for chopping, slicing, and dicing. Its sharp blade and ergonomic handle make it a reliable choice for food preparation.",kitchen-accessories,14.99,18.86,3.26,7,[List],null,B08MXF6MZF,3,25.19,18.52,20.5,1 month warranty,Ships in 1 week,Low Stock,[List],7 days return policy,50,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,2.25828E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/kitchen-accessories/knife/thumbnail.webp
65,Lunch Box,"The Lunch Box is a convenient and portable container for packing and carrying your meals. With compartments for different foods, it's perfect for on-the-go dining.",kitchen-accessories,12.99,10.34,4.93,94,[List],null,B09M6VGNX8,9,12.45,19.08,8.24,5 year warranty,Ships in 1-2 business days,In Stock,[List],30 days return policy,39,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,3.28713E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/kitchen-accessories/lunch-box/thumbnail.webp
66,Microwave Oven,"The Microwave Oven is a versatile kitchen appliance for quick and efficient cooking, reheating, and defrosting. Its compact size makes it suitable for various kitchen setups.",kitchen-accessories,89.99,12.13,4.82,59,[List],null,B07H7F97S4,9,16.31,27.45,13.05,1 year warranty,Ships in 1 week,In Stock,[List],7 days return policy,4,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,7.57827E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/kitchen-accessories/microwave-oven/thumbnail.webp
67,Mug Tree Stand,The Mug Tree Stand is a stylish and space-saving solution for organizing your mugs. Keep your favorite mugs easily accessible and neatly displayed in your kitchen.,kitchen-accessories,15.99,9.25,2.64,88,[List],null,B099FB63Q6,3,18.99,27.14,27.29,1 year warranty,Ships in 1 month,In Stock,[List],30 days return policy,45,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,4.13608E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/kitchen-accessories/mug-tree-stand/thumbnail.webp
68,Pan,"The Pan is a versatile and essential cookware item for frying, sautéing, and cooking various dishes. Its non-stick coating ensures easy food release and cleanup.",kitchen-accessories,24.99,3,2.79,90,[List],null,B09K3YFPSS,8,17.14,21.7,25.75,1 year warranty,Ships in 3-5 business days,In Stock,[List],30 days return policy,17,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,5.1598E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/kitchen-accessories/pan/thumbnail.webp
69,Plate,The Plate is a classic and essential dishware item for serving meals. Its durable and stylish design makes it suitable for everyday use or special occasions.,kitchen-accessories,3.99,7.31,3.65,66,[List],null,B09K3WDYB6,4,16.46,5.39,13.15,1 year warranty,Ships in 1-2 business days,In Stock,[List],90 days return policy,6,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,8.08475E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/kitchen-accessories/plate/thumbnail.webp
70,Red Tongs,The Red Tongs are versatile kitchen tongs suitable for various cooking and serving tasks. Their vibrant color adds a pop of excitement to your kitchen utensils.,kitchen-accessories,6.99,14.52,4.42,82,[List],null,B08CDQKS84,7,22.86,26.2,17,No warranty,Ships in 1 week,In Stock,[List],30 days return policy,23,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,1.91989E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/kitchen-accessories/red-tongs/thumbnail.webp
71,Silver Pot With Glass Cap,"The Silver Pot with Glass Cap is a stylish and functional cookware item for boiling, simmering, and preparing delicious meals. Its glass cap allows you to monitor cooking progress.",kitchen-accessories,39.99,5.7,3.22,40,[List],null,B099FBM4FZ,7,21.03,11.7,6.69,1 year warranty,Ships in 1 month,In Stock,[List],90 days return policy,10,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,9.75723E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/kitchen-accessories/silver-pot-with-glass-cap/thumbnail.webp
72,Slotted Turner,"The Slotted Turner is a kitchen utensil designed for flipping and turning food items. Its slotted design allows excess liquid to drain, making it ideal for frying and sautéing.",kitchen-accessories,8.99,13.35,3.4,88,[List],null,B081WSL2JS,8,14.41,27.15,14.76,Lifetime warranty,Ships in 1-2 business days,In Stock,[List],7 days return policy,34,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,4.39629E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/kitchen-accessories/slotted-turner/thumbnail.webp
73,Spice Rack,The Spice Rack is a convenient organizer for your spices and seasonings. Keep your kitchen essentials within reach and neatly arranged with this stylish spice rack.,kitchen-accessories,19.99,12.09,4.87,79,[List],null,B09PN3GVMZ,7,28.06,22.43,26.34,1 week warranty,Ships overnight,In Stock,[List],7 days return policy,18,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,6.14928E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/kitchen-accessories/spice-rack/thumbnail.webp
74,Spoon,"The Spoon is a versatile kitchen utensil for stirring, serving, and tasting. Its ergonomic design and durable construction make it an essential tool for every kitchen.",kitchen-accessories,4.99,1.53,4.03,59,[List],null,B09SDZ14KR,6,8.49,26.04,27.78,1 year warranty,Ships in 1-2 business days,In Stock,[List],90 days return policy,15,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,7.76963E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/kitchen-accessories/spoon/thumbnail.webp
75,Tray,"The Tray is a functional and decorative item for serving snacks, appetizers, or drinks. Its stylish design makes it a versatile accessory for entertaining guests.",kitchen-accessories,16.99,7.48,4.62,71,[List],null,B08YZ1HZ7B,10,12.7,7.52,9.72,5 year warranty,Ships in 2 weeks,In Stock,[List],7 days return policy,23,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,5.23951E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/kitchen-accessories/tray/thumbnail.webp
76,Wooden Rolling Pin,The Wooden Rolling Pin is a classic kitchen tool for rolling out dough for baking. Its smooth surface and sturdy handles make it easy to achieve uniform thickness.,kitchen-accessories,11.99,9.75,2.92,80,[List],null,B09TZV23QS,7,5.92,10.87,19.55,3 year warranty,Ships in 2 weeks,In Stock,[List],30 days return policy,11,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,6.93431E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/kitchen-accessories/wooden-rolling-pin/thumbnail.webp
77,Yellow Peeler,The Yellow Peeler is a handy tool for peeling fruits and vegetables with ease. Its bright yellow color adds a cheerful touch to your kitchen gadgets.,kitchen-accessories,5.99,12.48,4.24,35,[List],null,B08WPR5MCB,7,9.7,6.43,17.93,1 month warranty,Ships in 3-5 business days,In Stock,[List],90 days return policy,6,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,8.94616E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/kitchen-accessories/yellow-peeler/thumbnail.webp
78,Apple MacBook Pro 14 Inch Space Grey,"The MacBook Pro 14 Inch in Space Grey is a powerful and sleek laptop, featuring Apple's M1 Pro chip for exceptional performance and a stunning Retina display.",laptops,1999.99,4.69,3.65,24,[List],Apple,B08KR9JYNQ,9,20.03,9.54,14.82,3 year warranty,Ships in 2 weeks,In Stock,[List],90 days return policy,1,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,5.27521E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/laptops/apple-macbook-pro-14-inch-space-grey/thumbnail.webp
79,Asus Zenbook Pro Dual Screen Laptop,"The Asus Zenbook Pro Dual Screen Laptop is a high-performance device with dual screens, providing productivity and versatility for creative professionals.",laptops,1799.99,11.14,3.95,45,[List],Asus,B0982ZJ666,9,16.6,11.49,10.89,3 year warranty,Ships in 1 month,In Stock,[List],7 days return policy,1,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,7.39299E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/laptops/asus-zenbook-pro-dual-screen-laptop/thumbnail.webp
80,Huawei Matebook X Pro,"The Huawei Matebook X Pro is a slim and stylish laptop with a high-resolution touchscreen display, offering a premium experience for users on the go.",laptops,1399.99,9.38,4.98,75,[List],Huawei,B099NQJZPQ,9,18.21,22.83,17.26,No warranty,Ships overnight,In Stock,[List],60 days return policy,1,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,5.92297E+11,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/laptops/huawei-matebook-x-pro/thumbnail.webp
81,Lenovo Yoga 920,"The Lenovo Yoga 920 is a 2-in-1 convertible laptop with a flexible hinge, allowing you to use it as a laptop or tablet, offering versatility and portability.",laptops,1099.99,6.55,2.86,40,[List],Lenovo,B099NSGTJ9,9,20.84,22.68,17.39,6 months warranty,Ships in 2 weeks,In Stock,[List],No return policy,1,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,5.50674E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/laptops/lenovo-yoga-920/thumbnail.webp
82,New DELL XPS 13 9300 Laptop,"The New DELL XPS 13 9300 Laptop is a compact and powerful device, featuring a virtually borderless InfinityEdge display and high-end performance for various tasks.",laptops,1499.99,11.89,2.67,74,[List],Dell,B08PCVMF6R,2,13.76,29,21.42,2 year warranty,Ships in 2 weeks,In Stock,[List],60 days return policy,1,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,5.96381E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/laptops/new-dell-xps-13-9300-laptop/thumbnail.webp
83,Blue & Black Check Shirt,"The Blue & Black Check Shirt is a stylish and comfortable men's shirt featuring a classic check pattern. Made from high-quality fabric, it's suitable for both casual and semi-formal occasions.",mens-shirts,29.99,15.35,3.64,38,[List],Fashion Trends,B0983121HP,4,27.49,23.73,28.61,3 year warranty,Ships in 3-5 business days,In Stock,[List],30 days return policy,18,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,7.14867E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/mens-shirts/blue-&-black-check-shirt/thumbnail.webp
84,Gigabyte Aorus Men Tshirt,"The Gigabyte Aorus Men Tshirt is a cool and casual shirt for gaming enthusiasts. With the Aorus logo and sleek design, it's perfect for expressing your gaming style.",mens-shirts,24.99,0.94,3.18,90,[List],Gigabyte,B09KXTTVB5,4,22.31,26.47,13.27,3 year warranty,Ships overnight,In Stock,[List],30 days return policy,16,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,1.65439E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/mens-shirts/gigabyte-aorus-men-tshirt/thumbnail.webp
85,Man Plaid Shirt,The Man Plaid Shirt is a timeless and versatile men's shirt with a classic plaid pattern. Its comfortable fit and casual style make it a wardrobe essential for various occasions.,mens-shirts,34.99,19.5,3.46,82,[List],Classic Wear,B09SDYSR1F,3,9.34,5.97,10.85,1 week warranty,Ships in 1-2 business days,In Stock,[List],7 days return policy,13,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,2.8215E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/mens-shirts/man-plaid-shirt/thumbnail.webp
86,Man Short Sleeve Shirt,"The Man Short Sleeve Shirt is a breezy and stylish option for warm days. With a comfortable fit and short sleeves, it's perfect for a laid-back yet polished look.",mens-shirts,19.99,6.83,2.9,2,[List],Casual Comfort,B07X3K4L82,2,5.02,16.57,9.6,3 year warranty,Ships in 2 weeks,Low Stock,[List],30 days return policy,4,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,9.99587E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/mens-shirts/man-short-sleeve-shirt/thumbnail.webp
87,Men Check Shirt,"The Men Check Shirt is a classic and versatile shirt featuring a stylish check pattern. Suitable for various occasions, it adds a smart and polished touch to your wardrobe.",mens-shirts,27.99,11.38,2.72,95,[List],Urban Chic,B08YYR9G96,10,23.48,7.03,27.33,No warranty,Ships in 1-2 business days,In Stock,[List],30 days return policy,12,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,9.68033E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/mens-shirts/men-check-shirt/thumbnail.webp
88,Nike Air Jordan 1 Red And Black,"The Nike Air Jordan 1 in Red and Black is an iconic basketball sneaker known for its stylish design and high-performance features, making it a favorite among sneaker enthusiasts and athletes.",mens-shoes,149.99,4.12,4.77,7,[List],Nike,B0894Y4PNG,3,17.44,9.52,27,1 year warranty,Ships in 1 week,In Stock,[List],No return policy,1,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,7.63163E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/mens-shoes/nike-air-jordan-1-red-and-black/thumbnail.webp
89,Nike Baseball Cleats,Nike Baseball Cleats are designed for maximum traction and performance on the baseball field. They provide stability and support for players during games and practices.,mens-shoes,79.99,18.04,3.88,12,[List],Nike,B099NJ1WVX,9,11.75,26.65,19.6,6 months warranty,Ships in 2 weeks,In Stock,[List],No return policy,3,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,2.44985E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/mens-shoes/nike-baseball-cleats/thumbnail.webp
90,Puma Future Rider Trainers,"The Puma Future Rider Trainers offer a blend of retro style and modern comfort. Perfect for casual wear, these trainers provide a fashionable and comfortable option for everyday use.",mens-shoes,89.99,4.2,4.9,90,[List],Puma,B09RKDJ9SQ,6,17.45,15.58,23.13,5 year warranty,Ships in 1-2 business days,In Stock,[List],90 days return policy,10,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,9.71509E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/mens-shoes/puma-future-rider-trainers/thumbnail.webp
91,Sports Sneakers Off White & Red,"The Sports Sneakers in Off White and Red combine style and functionality, making them a fashionable choice for sports enthusiasts. The red and off-white color combination adds a bold and energetic touch.",mens-shoes,119.99,4.97,4.77,17,[List],Off White,B081WYHTF2,7,14.37,23.44,12.84,1 week warranty,Ships in 3-5 business days,In Stock,[List],30 days return policy,5,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,6.74032E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-&-red/thumbnail.webp
92,Sports Sneakers Off White Red,"Another variant of the Sports Sneakers in Off White Red, featuring a unique design. These sneakers offer style and comfort for casual occasions.",mens-shoes,109.99,0.04,4.69,62,[List],Off White,B0983FZLXC,9,21.43,9.86,28.5,3 months warranty,Ships overnight,In Stock,[List],60 days return policy,3,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,4.30266E+11,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-red/thumbnail.webp
93,Brown Leather Belt Watch,"The Brown Leather Belt Watch is a stylish timepiece with a classic design. Featuring a genuine leather strap and a sleek dial, it adds a touch of sophistication to your look.",mens-watches,89.99,5.99,4.19,32,[List],Fashion Timepieces,B099NQ1SKZ,10,16.65,6.15,20.18,1 year warranty,Ships in 1 month,In Stock,[List],30 days return policy,7,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,4.02721E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/mens-watches/brown-leather-belt-watch/thumbnail.webp
94,Longines Master Collection,"The Longines Master Collection is an elegant and refined watch known for its precision and craftsmanship. With a timeless design, it's a symbol of luxury and sophistication.",mens-watches,1499.99,17.24,3.87,100,[List],Longines,B099NJV9X7,4,15.39,10.06,20.32,1 week warranty,Ships in 1-2 business days,In Stock,[List],7 days return policy,1,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,5.98408E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/mens-watches/longines-master-collection/thumbnail.webp
95,Rolex Cellini Date Black Dial,"The Rolex Cellini Date with Black Dial is a classic and prestigious watch. With a black dial and date complication, it exudes sophistication and is a symbol of Rolex's heritage.",mens-watches,8999.99,8.88,4.97,40,[List],Rolex,B09K3LJWBB,2,13.46,26.1,17.9,3 months warranty,Ships in 1 week,In Stock,[List],90 days return policy,1,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,9.66346E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/mens-watches/rolex-cellini-date-black-dial/thumbnail.webp
96,Rolex Cellini Moonphase,"The Rolex Cellini Moonphase is a masterpiece of horology, featuring a moon phase complication and exquisite design. It reflects Rolex's commitment to precision and elegance.",mens-watches,12999.99,17.52,2.58,36,[List],Rolex,B08ZH9GDTY,2,26.06,25.19,13.17,6 months warranty,Ships overnight,In Stock,[List],7 days return policy,1,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,1.9573E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/mens-watches/rolex-cellini-moonphase/thumbnail.webp
97,Rolex Datejust,"The Rolex Datejust is an iconic and versatile timepiece with a date window. Known for its timeless design and reliability, it's a symbol of Rolex's watchmaking excellence.",mens-watches,10999.99,3.73,3.66,86,[List],Rolex,B07S8WG31H,4,23.11,19.97,27.04,2 year warranty,Ships in 1 month,In Stock,[List],7 days return policy,1,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,8.89379E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/mens-watches/rolex-datejust/thumbnail.webp
98,Rolex Submariner Watch,"The Rolex Submariner is a legendary dive watch with a rich history. Known for its durability and water resistance, it's a symbol of adventure and exploration.",mens-watches,13999.99,5.05,2.69,55,[List],Rolex,B09NQ54RRT,4,17.69,12.48,8.75,5 year warranty,Ships in 1 month,In Stock,[List],90 days return policy,1,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,7.13332E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/mens-watches/rolex-submariner-watch/thumbnail.webp
99,Amazon Echo Plus,The Amazon Echo Plus is a smart speaker with built-in Alexa voice control. It features premium sound quality and serves as a hub for controlling smart home devices.,mobile-accessories,99.99,12.07,4.99,61,[List],Amazon,B0983D6TGS,5,12.68,15.24,27.46,6 months warranty,Ships in 1 week,In Stock,[List],7 days return policy,9,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,2.25612E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/mobile-accessories/amazon-echo-plus/thumbnail.webp
100,Apple Airpods,"The Apple Airpods offer a seamless wireless audio experience. With easy pairing, high-quality sound, and Siri integration, they are perfect for on-the-go listening.",mobile-accessories,129.99,15.54,4.15,67,[List],Apple,B099FC7FSQ,4,25.79,18.38,11.53,3 year warranty,Ships in 3-5 business days,In Stock,[List],No return policy,4,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,1.10412E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/mobile-accessories/apple-airpods/thumbnail.webp
101,Apple AirPods Max Silver,"The Apple AirPods Max in Silver are premium over-ear headphones with high-fidelity audio, adaptive EQ, and active noise cancellation. Experience immersive sound in style.",mobile-accessories,549.99,13.67,3.47,59,[List],Apple,B09RKD6KWL,2,24.88,14.9,27.54,No warranty,Ships in 2 weeks,In Stock,[List],No return policy,1,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,4.06218E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/mobile-accessories/apple-airpods-max-silver/thumbnail.webp
102,Apple Airpower Wireless Charger,The Apple AirPower Wireless Charger provides a convenient way to charge your compatible Apple devices wirelessly. Simply place your devices on the charging mat for effortless charging.,mobile-accessories,79.99,4.48,3.68,1,[List],Apple,B0743FRDLK,5,25.25,25.44,10.98,2 year warranty,Ships in 1 week,Low Stock,[List],90 days return policy,7,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,3.32366E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/mobile-accessories/apple-airpower-wireless-charger/thumbnail.webp
103,Apple HomePod Mini Cosmic Grey,The Apple HomePod Mini in Cosmic Grey is a compact smart speaker that delivers impressive audio and integrates seamlessly with the Apple ecosystem for a smart home experience.,mobile-accessories,99.99,18.1,4.62,27,[List],Apple,B09873BFC1,10,16.02,29.2,19.81,3 months warranty,Ships in 1 month,In Stock,[List],90 days return policy,8,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,6.13564E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/mobile-accessories/apple-homepod-mini-cosmic-grey/thumbnail.webp
104,Apple iPhone Charger,The Apple iPhone Charger is a high-quality charger designed for fast and efficient charging of your iPhone. Ensure your device stays powered up and ready to go.,mobile-accessories,19.99,18.52,4.15,31,[List],Apple,B07R41PW8D,1,13.63,26.25,5.95,1 year warranty,Ships in 2 weeks,In Stock,[List],90 days return policy,14,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,8.79777E+11,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/mobile-accessories/apple-iphone-charger/thumbnail.webp
105,Apple MagSafe Battery Pack,The Apple MagSafe Battery Pack is a portable and convenient way to add extra battery life to your MagSafe-compatible iPhone. Attach it magnetically for a secure connection.,mobile-accessories,99.99,17.17,3.62,1,[List],Apple,B09NQ51MPV,6,15.4,11.89,19.67,2 year warranty,Ships overnight,Low Stock,[List],No return policy,4,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,5.15742E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/mobile-accessories/apple-magsafe-battery-pack/thumbnail.webp
